,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,state
0,0,0.8512,2025-05-02 20:55:51.137406,2025-05-02 20:57:28.622432,0 days 00:01:37.485026,256,20,128,0.005,0.97,2,COMPLETE
1,1,0.8436,2025-05-02 20:57:28.623017,2025-05-02 20:59:05.628744,0 days 00:01:37.005727,256,20,128,0.005,0.9299999999999999,2,COMPLETE
2,2,0.6087,2025-05-02 20:59:05.629257,2025-05-02 21:00:56.233423,0 days 00:01:50.604166,1024,20,128,0.005,0.9199999999999999,2,COMPLETE
3,3,0.5445,2025-05-02 21:00:56.233983,2025-05-02 21:02:48.336448,0 days 00:01:52.102465,1024,20,128,0.002,0.85,2,COMPLETE
4,4,0.8165,2025-05-02 21:02:48.337027,2025-05-02 21:04:24.789894,0 days 00:01:36.452867,256,20,128,0.002,0.85,2,COMPLETE
5,5,0.8572,2025-05-02 21:04:24.790387,2025-05-02 21:06:03.881109,0 days 00:01:39.090722,512,20,128,0.002,0.96,2,COMPLETE
6,6,0.9582,2025-05-02 21:06:03.881615,2025-05-02 21:07:53.764916,0 days 00:01:49.883301,32,20,128,0.002,0.89,2,COMPLETE
7,7,0.7167,2025-05-02 21:07:53.765412,2025-05-02 21:09:35.864303,0 days 00:01:42.098891,512,20,128,0.005,0.9199999999999999,2,COMPLETE
8,8,0.9555,2025-05-02 21:09:35.864805,2025-05-02 21:11:21.367376,0 days 00:01:45.502571,32,20,128,0.002,0.89,2,COMPLETE
9,9,0.9491,2025-05-02 21:11:21.367902,2025-05-02 21:12:50.572467,0 days 00:01:29.204565,128,20,128,0.002,0.98,2,COMPLETE
10,10,0.9566,2025-05-02 21:12:50.572938,2025-05-02 21:14:33.448747,0 days 00:01:42.875809,32,20,128,0.001,0.88,2,COMPLETE
11,11,0.976,2025-05-02 21:14:33.449209,2025-05-02 21:16:15.662684,0 days 00:01:42.213475,32,20,128,0.001,0.88,2,COMPLETE
12,12,0.9756,2025-05-02 21:16:15.663148,2025-05-02 21:17:57.879545,0 days 00:01:42.216397,32,20,128,0.001,0.89,2,COMPLETE
13,13,0.9349,2025-05-02 21:17:57.880050,2025-05-02 21:19:28.508756,0 days 00:01:30.628706,64,20,128,0.001,0.87,2,COMPLETE
14,14,0.9617,2025-05-02 21:19:28.509239,2025-05-02 21:21:10.285442,0 days 00:01:41.776203,32,20,128,0.001,0.9,2,COMPLETE
15,15,0.9651,2025-05-02 21:21:10.285915,2025-05-02 21:22:52.567655,0 days 00:01:42.281740,32,20,128,0.001,0.94,2,COMPLETE
16,16,0.9114,2025-05-02 21:22:52.568165,2025-05-02 21:24:19.994440,0 days 00:01:27.426275,128,20,128,0.001,0.87,2,COMPLETE
17,17,0.9082,2025-05-02 21:24:19.994922,2025-05-02 21:25:50.672708,0 days 00:01:30.677786,64,20,128,0.001,0.9099999999999999,2,COMPLETE
18,18,0.969,2025-05-02 21:25:50.673153,2025-05-02 21:27:31.948962,0 days 00:01:41.275809,32,20,128,0.001,0.87,2,COMPLETE
19,19,0.9567,2025-05-02 21:27:31.949427,2025-05-02 21:29:13.109076,0 days 00:01:41.159649,32,20,128,0.001,0.95,2,COMPLETE
20,20,0.9686,2025-05-02 21:29:13.109548,2025-05-02 21:30:53.866234,0 days 00:01:40.756686,32,20,128,0.001,0.9,2,COMPLETE
21,21,0.968,2025-05-02 21:30:53.866695,2025-05-02 21:32:34.583595,0 days 00:01:40.716900,32,20,128,0.001,0.87,2,COMPLETE
22,22,0.9572,2025-05-02 21:32:34.584025,2025-05-02 21:34:14.925459,0 days 00:01:40.341434,32,20,128,0.001,0.86,2,COMPLETE
23,23,0.9642,2025-05-02 21:34:14.925931,2025-05-02 21:35:55.317199,0 days 00:01:40.391268,32,20,128,0.001,0.88,2,COMPLETE
24,24,0.9573,2025-05-02 21:35:55.317719,2025-05-02 21:37:35.883565,0 days 00:01:40.565846,32,20,128,0.001,0.89,2,COMPLETE
25,25,0.5445,2025-05-02 21:37:35.884012,2025-05-02 21:39:10.790584,0 days 00:01:34.906572,512,20,128,0.001,0.86,2,COMPLETE
26,26,0.0,2025-05-02 21:39:10.791037,2025-05-02 21:40:57.993399,0 days 00:01:47.202362,1024,20,128,0.001,0.9099999999999999,2,COMPLETE
27,27,0.9176,2025-05-02 21:40:57.993875,2025-05-02 21:42:28.080629,0 days 00:01:30.086754,64,20,128,0.001,0.88,2,COMPLETE
28,28,0.8986,2025-05-02 21:42:28.081074,2025-05-02 21:43:54.453520,0 days 00:01:26.372446,128,20,128,0.001,0.9,2,COMPLETE
29,29,0.8574,2025-05-02 21:43:54.453994,2025-05-02 21:45:23.697976,0 days 00:01:29.243982,256,20,128,0.005,0.86,2,COMPLETE
